year,region,indicator,value
2019,г. Минск,Real_Wage_Index,106.5
2020,г. Минск,Real_Wage_Index,111.2
2021,г. Минск,Real_Wage_Index,105.4
2022,г. Минск,Real_Wage_Index,96.7
2023,г. Минск,Real_Wage_Index,108.4
2019,Брестская область,Specific_Weight,58.3
2020,Брестская область,Specific_Weight,58.3
2021,Брестская область,Specific_Weight,58.4
2022,Брестская область,Specific_Weight,58.8
2023,Брестская область,Specific_Weight,58.7
2019,Витебская область,Specific_Weight,58.5
2020,Витебская область,Specific_Weight,58.6
2021,Витебская область,Specific_Weight,58.8
2022,Витебская область,Specific_Weight,59.2
2023,Витебская область,Specific_Weight,59.2
2019,Гомельская область,Specific_Weight,57.1
2020,Гомельская область,Specific_Weight,57.3
2021,Гомельская область,Specific_Weight,57.6
2022,Гомельская область,Specific_Weight,58.0
2023,Гомельская область,Specific_Weight,57.9
2019,Гродненская область,Specific_Weight,58.1
2020,Гродненская область,Specific_Weight,58.4
2021,Гродненская область,Specific_Weight,58.7
2022,Гродненская область,Specific_Weight,59.0
2023,Гродненская область,Specific_Weight,59.1
2019,Минская область,Specific_Weight,57.6
2020,Минская область,Specific_Weight,57.6
2021,Минская область,Specific_Weight,57.7
2022,Минская область,Specific_Weight,58.0
2023,Минская область,Specific_Weight,57.9
2019,Могилевская область,Specific_Weight,58.3
2020,Могилевская область,Specific_Weight,58.4
2021,Могилевская область,Specific_Weight,58.6
2022,Могилевская область,Specific_Weight,59.1
2023,Могилевская область,Specific_Weight,58.9
2019,Республика Беларусь,Specific_Weight,60.5
2020,Республика Беларусь,Specific_Weight,60.6
2021,Республика Беларусь,Specific_Weight,60.8
2022,Республика Беларусь,Specific_Weight,61.0
2023,Республика Беларусь,Specific_Weight,61.0
2019,г. Минск,Specific_Weight,69.9
2020,г. Минск,Specific_Weight,70.0
2021,г. Минск,Specific_Weight,70.0
2022,г. Минск,Specific_Weight,69.9
2023,г. Минск,Specific_Weight,69.8
2019,Брестская область,Unemployed_Count,1421.0
2020,Брестская область,Unemployed_Count,1188.0
2021,Брестская область,Unemployed_Count,952.0
2022,Брестская область,Unemployed_Count,840.0
2023,Брестская область,Unemployed_Count,758.0
2019,Витебская область,Unemployed_Count,1506.0
2020,Витебская область,Unemployed_Count,1334.0
2021,Витебская область,Unemployed_Count,1067.0
2022,Витебская область,Unemployed_Count,798.0
2023,Витебская область,Unemployed_Count,518.0
2019,Гомельская область,Unemployed_Count,1214.0
2020,Гомельская область,Unemployed_Count,941.0
2021,Гомельская область,Unemployed_Count,581.0
2022,Гомельская область,Unemployed_Count,487.0
2023,Гомельская область,Unemployed_Count,309.0
2019,Гродненская область,Unemployed_Count,1354.0
2020,Гродненская область,Unemployed_Count,1067.0
2021,Гродненская область,Unemployed_Count,887.0
2022,Гродненская область,Unemployed_Count,742.0
2023,Гродненская область,Unemployed_Count,589.0
2019,Минская область,Unemployed_Count,1096.0
2020,Минская область,Unemployed_Count,797.0
2021,Минская область,Unemployed_Count,509.0
2022,Минская область,Unemployed_Count,444.0
2023,Минская область,Unemployed_Count,231.0
2019,Могилевская область,Unemployed_Count,1343.0
2020,Могилевская область,Unemployed_Count,1177.0
2021,Могилевская область,Unemployed_Count,796.0
2022,Могилевская область,Unemployed_Count,825.0
2023,Могилевская область,Unemployed_Count,615.0
2019,Республика Беларусь,Unemployed_Count,8808.0
2020,Республика Беларусь,Unemployed_Count,7226.0
2021,Республика Беларусь,Unemployed_Count,5339.0
2022,Республика Беларусь,Unemployed_Count,4601.0
2023,Республика Беларусь,Unemployed_Count,3282.0
2019,г. Минск,Unemployed_Count,874.0
2020,г. Минск,Unemployed_Count,722.0
2021,г. Минск,Unemployed_Count,547.0
2022,г. Минск,Unemployed_Count,465.0
2023,г. Минск,Unemployed_Count,262.0
